QuestionID,Title,TimeStamp,Follows,AnswerCount,QuestionedBy,AnsweredBy,CategoryID
1005070600001,When does a kid usually move from sleeping in a crib to sleeping in a bed?,1120638303,31,15,O3HSJ5K6TU52LBXAFTNGK5S7FI,5FC6V3A7SWVXMIT4TO4V2HHE4M;B3ZECQCT5HOQD45ZAP2CUMHS7I;7SYKA7RTNNG5TGYHYPNNN4EGGE;DY7VLSFUTBZQY4ST3PAXGSNQ5A;KLZWTIVANKPABMNI3SAR7D6BZI;;E5DIUBWA7ITOE3H24B6DXVAQVM;7MAX2TI4SDOZKKORKJAR2RJ57I;AZ7MS33CE53XB2X2RKIMRWQDA4;;RJZKK5J3MIBX253LJA6Q5W6P2E;HC5GWIUYNOLHH356VGDOLW2E4U;AIX4W6YLHBT4WNICQKN3AXPMZ4;IXWRHFEKKOSKSJ7U52NLMPZSXY;FDMZFM6YAGXDGUIPQ6TXFB7TNM;YFYACFVX5EI7EYJCKOWK4SPF5I,396546046;396546052
1005070700001,Vacation rentals in the Turks and Caicos,1120693245,8,1,5A5KKEGZU4RSFRCH65JCIVM4VI,YGLTZCDUQHFJZFADKHACL4F3NU,396545469;396545508;396545519
1005070700003,What's the best way to clean a keyboard?,1120744898,28,3,5FC6V3A7SWVXMIT4TO4V2HHE4M,JTMEV3JI25O43LQEUVWP32OYCQ;C3QQBTFDQEKNQR5LGGX65IQCFE;QD7G7ZCPJBWLSRWARAHOZLZAKA;UNUS4R4J7W7HIU5NNAPOEBCY4U;GHLFVUOHF5JE4LH2VLMLV4M4TQ;MYZY6OZSXLXDWHAGKYGDLXHODU;3PPJGM27OJQBIXGEZBMXSW6TWU,396545660;396545661;396545669
1005070700004,Why do people blush when they are embarrassed?,1120745336,43,3,5FC6V3A7SWVXMIT4TO4V2HHE4M,5FC6V3A7SWVXMIT4TO4V2HHE4M,396545122;396545209
1005070700007,What is happiness?,1120755100,16,5,YGLTZCDUQHFJZFADKHACL4F3NU,YGLTZCDUQHFJZFADKHACL4F3NU,396545018;396545393
1005071100001,What is Trans Fat? How to reduce that?,1121072057,5,4,YGLTZCDUQHFJZFADKHACL4F3NU,BL5EFMU7UIY7QB2TUCUZB2NM3U;G2V2SKCTIZFCPFFFXO42LRNG2A;II7T5AL57IAFDTCE2OV4G4B7D4;3NET3A5WDF2OW4EGZCJQSOL3ZE,396545018;396545143
1005071200001,Why is it called "Heavy Metal" music?,1121150633,15,6,JTMEV3JI25O43LQEUVWP32OYCQ,BL5EFMU7UIY7QB2TUCUZB2NM3U;J5A7ZT562SAPTWENXRVWMVHN7U;QGRETTC5I7BX5E4PWBIDWCB7AE;JFTI3GYB2XCWJSKHMCNBWA2RQ4;5FC6V3A7SWVXMIT4TO4V2HHE4M;263OEOACRR4CVEEDBONVL2MJO4,396545016;396545139
1005071200012,What is the best most powerful portable GPS unit?,1121193240,1,2,BL5EFMU7UIY7QB2TUCUZB2NM3U,VNMHRIO7W2IKKVCTTH4W7RA6OU;4EUGWDAKOKFHUWJTVWKXL66TWU,396545014;396545326
1005072600010,What's the best way to heat up a cold hamburger (In & Out)?,1122332400,4,3,JTMEV3JI25O43LQEUVWP32OYCQ,JTMEV3JI25O43LQEUVWP32OYCQ,396545367;396545368
1005072600011,What convertible has five seats,1122400580,3,1,VNMHRIO7W2IKKVCTTH4W7RA6OU,TFDKCJPP2H64QCDS5TZSSUI74Y,396545311;396545317
1005072700001,Cascading Style Sheets,1122454846,4,2,A5BYLUI6KD7OHA43CF7LIWC2DA,5FC6V3A7SWVXMIT4TO4V2HHE4M;4STXHCLV6GPQUDJSDWEHQ7GGCA,396545660;396545663
1005071500001,Best finish for concrete surfaces,1122505200,3,2,RJFYDPC4CUX7G2MVDN2KXCQNDU,VNMHRIO7W2IKKVCTTH4W7RA6OU;BXBJM3Z52J3U33DUTKIT4H2C3Q,396545394;396545398
1005072900001,How many planes Fedex has?,1122592262,8,1,BL5EFMU7UIY7QB2TUCUZB2NM3U,A5BYLUI6KD7OHA43CF7LIWC2DA,396545013;396545319
1005073000001,Roth IRA Vs 401K?,1122755235,0,1,A5BYLUI6KD7OHA43CF7LIWC2DA,YGLTZCDUQHFJZFADKHACL4F3NU,396545013;396545323
1005080100038,When did razorfish fold?,1122924077,0,1,KMZAY7GPNRY4MJKCRIBTGSDX3A,TFDKCJPP2H64QCDS5TZSSUI74Y,396545014;396545678
1005080300001,Faxing a pizza,1123054231,13,1,TYZJ2YSAXVAHZAM7IOJMBSDLBU,VNRYAJIAJNZYYOEDBFFYG6J53E,396545122;396545211
1005080300002,Global Warming,1123055547,9,2,TYZJ2YSAXVAHZAM7IOJMBSDLBU,7UTBOY7NINDLIAZEY5CTV6P5LI;VNRYAJIAJNZYYOEDBFFYG6J53E,396545451
1005080300004,A baby's eyes,1123087941,7,1,A5BYLUI6KD7OHA43CF7LIWC2DA,XVM4SEPECPWO7IWUO6KILWUXZM,396545122;396545209
1005080400001,Heavy water,1123159154,3,1,A5BYLUI6KD7OHA43CF7LIWC2DA,XVM4SEPECPWO7IWUO6KILWUXZM,396545122;396545211
1005080500003,Can someone tell me what happened in Buffy's series finale?,1123253872,4,1,KMZAY7GPNRY4MJKCRIBTGSDX3A,KMZAY7GPNRY4MJKCRIBTGSDX3A,396545016;396545199
1005080500004,How come fire trucks are red?,1123254599,4,2,KMZAY7GPNRY4MJKCRIBTGSDX3A,7UTBOY7NINDLIAZEY5CTV6P5LI;A5BYLUI6KD7OHA43CF7LIWC2DA,396545015;396545223
1005080900001,Space missions,1123574956,2,3,A5BYLUI6KD7OHA43CF7LIWC2DA,VNRYAJIAJNZYYOEDBFFYG6J53E;JTMEV3JI25O43LQEUVWP32OYCQ;VNMHRIO7W2IKKVCTTH4W7RA6OU,396545122;396545160
1005080900002,Buying on the Net,1123575143,0,2,A5BYLUI6KD7OHA43CF7LIWC2DA,ZRM5NYDFRY2BMZTPQ72P4BJEA4;KMZAY7GPNRY4MJKCRIBTGSDX3A,396545014;396545678
1005080900004,Do animals have feelings?,1123592288,19,4,I7LXLWUTUCSDNM3YR6JD4VGTLQ,VNRYAJIAJNZYYOEDBFFYG6J53E;B6S6OXH6ABJO2ZNAP2JK7LE4UA;KL64UYV666IQQDV5PUKAAO4TFU;,396545122;396545607
1005081100002,Why do gas stations mix ethanol into gas?,1123751766,2,3,VNMHRIO7W2IKKVCTTH4W7RA6OU,VNRYAJIAJNZYYOEDBFFYG6J53E;TYZJ2YSAXVAHZAM7IOJMBSDLBU;WE73PGH24B7CYQ57OEYXYZQ3ZE,396545122;396545227
1005081100003,Why hybrid cars gas mileage is better in city ?,1123756627,1,3,WE73PGH24B7CYQ57OEYXYZQ3ZE,A5BYLUI6KD7OHA43CF7LIWC2DA;VNRYAJIAJNZYYOEDBFFYG6J53E;ZRM5NYDFRY2BMZTPQ72P4BJEA4,396545311;396545313
1005081100004,How does a helicopter fly,1123771896,4,2,A5BYLUI6KD7OHA43CF7LIWC2DA,JTMEV3JI25O43LQEUVWP32OYCQ;VNRYAJIAJNZYYOEDBFFYG6J53E,396545122;396545219
